edgepair_id,gen,edgepair_image,flip_Z2,rot_Z3
27,4,17,0,0
27,5,9,0,0
27,6,92,1,0
27,7,68,0,0
27,8,36,0,0
27,9,36,0,0
28,0,85,0,0
28,1,77,0,0
28,2,22,0,0
28,3,27,0,0
28,4,16,0,0
28,5,7,0,0
28,6,83,1,0
28,7,71,0,0
28,8,38,0,0
28,9,38,0,0
29,0,76,0,0
29,1,80,0,0
29,2,23,0,0
29,3,28,0,0
29,4,15,0,0
29,5,5,0,0
29,6,74,1,0
29,7,74,0,0
29,8,37,0,0
29,9,37,0,0
30,0,110,1,0
30,1,105,0,0
30,2,33,0,0
30,3,31,0,0
30,4,21,0,0
30,5,21,0,0
30,6,93,0,0
30,7,93,0,0
30,8,21,0,0
30,9,21,0,0
31,0,119,1,0
31,1,108,0,0
31,2,34,0,0
31,3,32,0,0
31,4,23,0,0
31,5,28,0,0
31,6,102,0,0
31,7,96,0,0
31,8,23,0,0
31,9,23,0,0
32,0,101,1,0
32,1,102,0,0
32,2,35,0,0
32,3,30,0,0
32,4,22,0,0
32,5,26,0,0
32,6,111,0,0
32,7,99,0,0
32,8,22,0,0
32,9,22,0,0
33,0,114,1,0
33,1,106,0,0
33,2,36,0,0
33,3,34,0,0
33,4,28,0,0
33,5,24,0,0
33,6,109,1,0
33,7,94,0,0
33,8,24,0,0
33,9,24,0,0
34,0,96,1,0
34,1,109,0,0
34,2,37,0,0
34,3,35,0,0
34,4,27,0,0
34,5,22,0,0
34,6,118,1,0
34,7,97,0,0
34,8,26,0,0
34,9,26,0,0
35,0,105,1,0
35,1,103,0,0
35,2,38,0,0
35,3,33,0,0
35,4,29,0,0
35,5,29,0,0
35,6,100,1,0
35,7,100,0,0
35,8,25,0,0
35,9,25,0,0
36,0,94,0,0
36,1,107,0,0
36,2,30,0,0
36,3,37,0,0
36,4,26,0,0
36,5,27,0,0
36,6,116,1,0
36,7,95,0,0
36,8,27,0,0
36,9,27,0,0
37,0,103,0,0
37,1,110,0,0
37,2,31,0,0
37,3,38,0,0
37,4,25,0,0
37,5,25,0,0
37,6,98,1,0
37,7,98,0,0
37,8,29,0,0
37,9,29,0,0
38,0,112,0,0
38,1,104,0,0
38,2,32,0,0
38,3,36,0,0
38,4,24,0,0
38,5,23,0,0
38,6,107,1,0
38,7,101,0,0
38,8,28,0,0
38,9,28,0,0
39,0,39,0,0
39,1,39,0,0
39,2,40,0,0
39,3,48,0,0
39,4,45,1,0
39,5,42,0,0
39,6,12,0,0
39,7,3,0,0
39,8,39,0,0
39,9,39,0,0
40,0,41,0,0
40,1,40,0,0
40,2,41,0,0
40,3,49,0,0
40,4,110,1,0
40,5,43,0,0
40,6,41,0,0
40,7,6,0,0
40,8,40,0,0
40,9,40,0,0
41,0,12,0,0
41,1,41,0,0
41,2,39,0,0
41,3,50,0,0
41,4,91,1,0
41,5,44,0,0
41,6,40,0,0
41,7,9,0,0
41,8,41,0,0
41,9,41,0,0
42,0,42,0,0
42,1,42,0,0
42,2,43,0,0
42,3,51,0,0
42,4,39,1,0
42,5,45,0,0
42,6,15,1,0
42,7,5,0,0
42,8,45,0,0
42,9,45,0,0
43,0,47,0,0
43,1,43,0,0
43,2,44,0,0
43,3,52,0,0
43,4,103,1,0
43,5,46,0,0
43,6,44,0,0
43,7,8,0,0
43,8,46,0,0
43,9,46,0,0
44,0,15,1,0
44,1,44,0,0
44,2,42,0,0
44,3,53,0,0
44,4,86,1,0
44,5,47,0,0
44,6,46,0,0
44,7,11,0,0
44,8,47,0,0
44,9,47,0,0
45,0,45,0,0
45,1,45,0,0
45,2,46,0,0
45,3,54,0,0
45,4,42,0,0
45,5,39,0,0
45,6,18,1,0
45,7,4,0,0
45,8,42,0,0
45,9,42,0,0
46,0,44,0,0
46,1,46,0,0
46,2,47,0,0
46,3,55,0,0
46,4,105,0,0
46,5,40,0,0
46,6,47,0,0
46,7,7,0,0
46,8,43,0,0
46,9,43,0,0
47,0,18,1,0
47,1,47,0,0
47,2,45,0,0
47,3,56,0,0
47,4,87,0,0
47,5,41,0,0
47,6,43,0,0
47,7,10,0,0
47,8,44,0,0
47,9,44,0,0
48,0,48,0,0
48,1,57,0,0
48,2,49,0,0
48,3,57,0,0
48,4,54,1,0
48,5,105,0,0
48,6,13,0,0
48,7,57,0,0
48,8,48,0,0
48,9,48,0,0
49,0,50,0,0
49,1,58,0,0
49,2,50,0,0
49,3,58,0,0
49,4,119,1,0
49,5,106,0,0
49,6,50,0,0
49,7,58,0,0
49,8,49,0,0
49,9,49,0,0
50,0,13,0,0
50,1,59,0,0
50,2,48,0,0
50,3,59,0,0
50,4,73,1,0
50,5,107,0,0
50,6,49,0,0
50,7,59,0,0
50,8,50,0,0
50,9,50,0,0
51,0,51,0,0
51,1,63,0,0
51,2,52,0,0
51,3,60,0,0
51,4,48,1,0
51,5,110,0,0
51,6,16,1,0
51,7,60,0,0
51,8,54,0,0
51,9,54,0,0
52,0,56,0,0
52,1,64,0,0
52,2,53,0,0
52,3,61,0,0
52,4,112,1,0
52,5,108,0,0
52,6,53,0,0
52,7,61,0,0
52,8,55,0,0
52,9,55,0,0
53,0,16,1,0
53,1,65,0,0
53,2,51,0,0
53,3,62,0,0
53,4,68,1,0
53,5,109,0,0
53,6,55,0,0
53,7,62,0,0
53,8,56,0,0
53,9,56,0,0
54,0,54,0,0
54,1,60,0,0
54,2,55,0,0
54,3,63,0,0
54,4,51,0,0
54,5,103,0,0
54,6,19,1,0
54,7,63,0,0
54,8,51,0,0
54,9,51,0,0
55,0,53,0,0
55,1,61,0,0
55,2,56,0,0
55,3,64,0,0
55,4,114,0,0
55,5,104,0,0
55,6,56,0,0
55,7,64,0,0
55,8,52,0,0
55,9,52,0,0
56,0,19,1,0
56,1,62,0,0
56,2,54,0,0
56,3,65,0,0
56,4,69,0,0
56,5,102,0,0
56,6,52,0,0
56,7,65,0,0
56,8,53,0,0
56,9,53,0,0
57,0,57,0,0
57,1,3,0,0
57,2,58,0,0
57,3,39,0,0
57,4,63,1,0
57,5,87,0,0
57,6,14,0,0
57,7,48,0,0
57,8,57,0,0
57,9,57,0,0
58,0,59,0,0
