u,v,gen,exp,qid_u,qid_v,twin_u,twin_v,x_u,y_u,z_u,x_v,y_v,z_v,core_intersection_u_v
44,51,g2,0,5,8,1,0,0,0,2,0,0,1,3
44,41,g3,1,5,7,1,0,0,0,2,2,2,2,3
44,39,g5,2,5,17,1,0,0,0,2,2,1,2,1
44,22,g8,0,5,23,1,1,0,0,2,0,2,0,2
44,22,g9,0,5,23,1,1,0,0,2,0,2,0,2
45,52,g2,0,13,26,1,1,1,2,1,1,2,0,3
45,53,g3,0,13,20,1,1,1,2,1,1,2,2,3
45,31,g5,1,13,0,1,1,1,2,1,0,0,0,1
45,30,g8,1,13,21,1,0,1,2,1,2,0,1,3
45,30,g9,1,13,21,1,0,1,2,1,2,0,1,3
46,27,g2,1,25,15,1,0,0,1,1,0,1,0,3
46,40,g3,2,25,14,1,0,0,1,1,0,1,2,3
46,16,g5,1,25,6,1,0,0,1,1,2,2,1,2
46,47,g8,0,25,25,1,0,0,1,1,0,1,1,6
46,47,g9,0,25,25,1,0,0,1,1,0,1,1,6
47,29,g2,1,25,15,0,1,0,1,1,0,1,0,3
47,42,g3,2,25,14,0,1,0,1,1,0,1,2,3
47,50,g5,1,25,6,0,1,0,1,1,2,2,1,2
47,46,g8,0,25,25,0,1,0,1,1,0,1,1,6
47,46,g9,0,25,25,0,1,0,1,1,0,1,1,6
48,30,g2,1,9,21,0,0,2,0,2,2,0,1,3
48,43,g3,2,9,19,0,0,2,0,2,2,0,0,3
48,34,g5,0,9,1,0,0,2,0,2,1,1,0,1
48,53,g8,2,9,20,0,1,2,0,2,1,2,2,3
48,53,g9,2,9,20,0,1,2,0,2,1,2,2,3
49,26,g2,0,10,24,0,0,2,1,1,2,1,0,3
49,18,g3,0,10,18,0,0,2,1,1,0,2,2,3
49,53,g5,2,10,20,0,1,2,1,1,1,2,2,1
49,34,g8,0,10,1,0,0,2,1,1,1,1,0,3
49,34,g9,0,10,1,0,0,2,1,1,1,1,0,3
50,28,g2,0,6,3,1,1,2,2,1,2,2,0,3
50,38,g3,2,6,1,1,1,2,2,1,1,1,0,3
50,36,g5,0,6,22,1,0,2,2,1,1,0,2,2
50,35,g8,0,6,22,1,1,2,2,1,1,0,2,2
50,35,g9,0,6,22,1,1,2,2,1,1,0,2,2
51,31,g2,0,8,0,0,1,0,0,1,0,0,0,3
51,50,g3,1,8,6,0,1,0,0,1,2,2,1,3
51,49,g5,2,8,10,0,0,0,0,1,2,1,1,1
51,37,g8,0,8,18,0,1,0,0,1,0,2,2,2
51,37,g9,0,8,18,0,1,0,0,1,0,2,2,2
52,53,g2,2,26,20,1,1,1,2,0,1,2,2,3
52,45,g3,1,26,13,1,1,1,2,0,1,2,1,3
52,44,g5,1,26,5,1,1,1,2,0,0,0,2,1
52,43,g8,1,26,19,1,0,1,2,0,2,0,0,3
52,43,g9,1,26,19,1,0,1,2,0,2,0,0,3
53,45,g2,1,20,13,1,1,1,2,2,1,2,1,3
53,52,g3,2,20,26,1,1,1,2,2,1,2,0,3
53,51,g5,2,20,8,1,0,1,2,2,0,0,1,1
53,48,g8,1,20,9,1,0,1,2,2,2,0,2,3
53,48,g9,1,20,9,1,0,1,2,2,2,0,2,3
