cycle_id,cycle_len,pos,root,image
32,6,2,"(-1, -1, -1, -2, -1, 0, 0, 0)","(0, -1, -1, -2, -1, 0, 0, 0)"
32,6,3,"(0, -1, -1, -2, -1, 0, 0, 0)","(0, 0, 0, 1, 0, 0, 0, 0)"
32,6,4,"(0, 0, 0, 1, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 1, 1, 1)"
32,6,5,"(0, 1, 1, 1, 1, 1, 1, 1)","(-2, -3, -4, -5, -4, -3, -2, -1)"
33,6,0,"(-2, -3, -4, -6, -5, -4, -3, -2)","(-2, -2, -4, -5, -4, -3, -2, -1)"
33,6,1,"(-2, -2, -4, -5, -4, -3, -2, -1)","(-1, -2, -2, -4, -3, -2, -1, 0)"
33,6,2,"(-1, -2, -2, -4, -3, -2, -1, 0)","(0, -1, -1, -2, -2, -1, 0, 0)"
33,6,3,"(0, -1, -1, -2, -2, -1, 0, 0)","(-1, -1, -1, -2, -1, -1, -1, -1)"
33,6,4,"(-1, -1, -1, -2, -1, -1, -1, -1)","(0, -1, -1, -1, -1, -1, -1, -1)"
33,6,5,"(0, -1, -1, -1, -1, -1, -1, -1)","(-2, -3, -4, -6, -5, -4, -3, -2)"
34,6,0,"(0, -1, -1, -2, -2, -2, -1, -1)","(0, 0, 0, 0, 0, -1, -1, 0)"
34,6,1,"(0, 0, 0, 0, 0, -1, -1, 0)","(0, 0, 0, 0, 0, -1, 0, 0)"
34,6,2,"(0, 0, 0, 0, 0, -1, 0, 0)","(0, -1, -1, -2, -1, -1, -1, 0)"
34,6,3,"(0, -1, -1, -2, -1, -1, -1, 0)","(0, 0, 0, 0, 0, -1, -1, -1)"
34,6,4,"(0, 0, 0, 0, 0, -1, -1, -1)","(0, -1, -1, -2, -1, -1, -1, -1)"
34,6,5,"(0, -1, -1, -2, -1, -1, -1, -1)","(0, -1, -1, -2, -2, -2, -1, -1)"
35,6,0,"(0, -1, 0, -1, -1, 0, 0, 0)","(1, 0, 0, 0, 0, 0, 0, 0)"
35,6,1,"(1, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 1, 1, 1)"
35,6,2,"(0, 0, 0, 0, 0, 1, 1, 1)","(-1, -1, -1, -1, -1, -1, -1, 0)"
35,6,3,"(-1, -1, -1, -1, -1, -1, -1, 0)","(1, 2, 2, 3, 2, 1, 1, 0)"
35,6,4,"(1, 2, 2, 3, 2, 1, 1, 0)","(1, 1, 1, 2, 2, 1, 0, 0)"
35,6,5,"(1, 1, 1, 2, 2, 1, 0, 0)","(0, -1, 0, -1, -1, 0, 0, 0)"
36,6,0,"(0, 0, 0, 0, -1, -1, 0, 0)","(0, 0, 0, -1, 0, 0, 0, 0)"
36,6,1,"(0, 0, 0, -1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, -1)"
36,6,2,"(0, 0, 0, 0, 0, 0, 0, -1)","(0, 0, 0, -1, -1, -1, -1, -1)"
36,6,3,"(0, 0, 0, -1, -1, -1, -1, -1)","(-1, -1, -2, -2, -1, -1, 0, 0)"
36,6,4,"(-1, -1, -2, -2, -1, -1, 0, 0)","(0, -1, -1, -2, -2, -2, -1, 0)"
36,6,5,"(0, -1, -1, -2, -2, -2, -1, 0)","(0, 0, 0, 0, -1, -1, 0, 0)"
37,6,0,"(0, 0, 0, 0, 0, 1, 0, 0)","(1, 1, 1, 2, 1, 1, 1, 0)"
37,6,1,"(1, 1, 1, 2, 1, 1, 1, 0)","(-1, -2, -2, -3, -3, -2, -1, 0)"
37,6,2,"(-1, -2, -2, -3, -3, -2, -1, 0)","(0, 1, 1, 2, 1, 1, 1, 1)"
37,6,3,"(0, 1, 1, 2, 1, 1, 1, 1)","(1, 3, 3, 5, 4, 3, 2, 1)"
37,6,4,"(1, 3, 3, 5, 4, 3, 2, 1)","(1, 1, 1, 2, 2, 2, 1, 0)"
37,6,5,"(1, 1, 1, 2, 2, 2, 1, 0)","(0, 0, 0, 0, 0, 1, 0, 0)"
38,6,0,"(0, 0, 0, 0, 1, 1, 1, 0)","(1, 2, 2, 3, 2, 1, 1, 1)"
38,6,1,"(1, 2, 2, 3, 2, 1, 1, 1)","(0, 1, 1, 1, 1, 0, 0, 0)"
38,6,2,"(0, 1, 1, 1, 1, 0, 0, 0)","(1, 1, 2, 3, 2, 1, 0, 0)"
38,6,3,"(1, 1, 2, 3, 2, 1, 0, 0)","(0, 0, 0, 1, 1, 1, 0, 0)"
38,6,4,"(0, 0, 0, 1, 1, 1, 0, 0)","(1, 1, 1, 2, 2, 2, 1, 1)"
38,6,5,"(1, 1, 1, 2, 2, 2, 1, 1)","(0, 0, 0, 0, 1, 1, 1, 0)"
39,6,0,"(0, 0, 0, 0, 1, 1, 1, 1)","(-1, -2, -2, -4, -4, -3, -2, -1)"
39,6,1,"(-1, -2, -2, -4, -4, -3, -2, -1)","(1, 2, 3, 4, 3, 2, 2, 1)"
39,6,2,"(1, 2, 3, 4, 3, 2, 2, 1)","(1, 2, 2, 3, 2, 1, 0, 0)"
39,6,3,"(1, 2, 2, 3, 2, 1, 0, 0)","(0, 0, 1, 1, 1, 0, 0, 0)"
39,6,4,"(0, 0, 1, 1, 1, 0, 0, 0)","(-1, -1, -2, -3, -2, -2, -2, -1)"
