u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id,x,y,z,tx,ty,tz,L11,L12,L21,L22,s_zshift_x,s_zshift_y,q_xy,silent_index,block_guess
15,9,0,g3,0,1,17,0,33,1,2,1,2,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",2,13
15,9,0,g5,0,2,2,1,14,1,2,1,2,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",2,13
15,9,0,g8,0,3,22,0,13,1,2,1,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",2,13
15,9,0,g9,0,4,22,0,13,1,2,1,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",2,13
16,8,0,g2,0,0,3,0,2,0,0,2,2,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",3,18
16,8,0,g3,0,1,1,0,34,0,0,2,2,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",3,18
16,8,0,g5,0,2,10,0,35,0,0,2,2,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",3,18
16,8,0,g8,0,3,10,1,36,0,0,2,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",3,18
16,8,0,g9,0,4,10,1,36,0,0,2,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",3,18
17,18,0,g2,0,0,12,0,3,1,1,0,1,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",1,7
17,18,0,g3,0,1,21,1,37,1,1,0,1,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",1,7
17,18,0,g5,2,2,25,0,32,1,1,0,1,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",1,7
17,18,0,g8,0,3,1,1,38,1,1,0,1,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",1,7
17,18,0,g9,0,4,1,1,38,1,1,0,1,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",1,7
18,21,0,g2,0,0,19,0,4,2,1,1,0,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",0,2
18,21,0,g3,0,1,10,1,36,2,1,1,0,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",0,2
18,21,0,g5,2,2,17,0,33,2,1,1,0,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",0,2
18,21,0,g8,0,3,6,0,5,2,1,1,0,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",0,2
