edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
72,4,"(4, 1, 3, 6)",6,32,176,"(1, -1, -1, -1, -1, -1, -1, 1)",3,72
193,4,"(4, 1, 4, 1)",21,32,202,"(-1, -1, 1, -1, 1, 1, -1, 1)",4,27
235,4,"(4, 1, 4, 4)",33,34,138,"(1, -1, 1, -1, 1, 1, -1, -1)",6,27
236,4,"(4, 1, 4, 5)",33,38,139,"(-1, 1, 1, -1, 1, 1, -1, -1)",6,27
209,4,"(4, 1, 4, 7)",24,39,225,"(-1, 1, -1, -1, -1, 1, 1, 1)",2,27
216,4,"(4, 1, 5, 0)",26,36,49,"(0, 2, 0, 0, 0, 0, 0, -2)",0,27
202,4,"(4, 1, 5, 6)",23,33,213,"(-1, 1, -1, 1, -1, -1, 1, 1)",5,27
58,4,"(4, 1, 6, 4)",5,23,59,"(0, 0, -2, 0, -2, 0, 0, 0)",3,72
200,4,"(4, 1, 8, 4)",23,25,211,"(-1, 1, 1, -1, -1, -1, 1, 1)",5,27
182,4,"(4, 5, 0, 0)",20,21,188,"(1, -1, -1, 1, 1, -1, -1, 1)",3,72
212,4,"(4, 5, 0, 7)",25,34,232,"(-1, -1, -1, -1, 1, 1, 1, 1)",2,27
